id;usd_rate;eur_rate;byn_rate;date
1;2.6293;2.9482;3.3334;29-01-2022 20:40
2;2.6293;2.9482;3.3334;29-01-2022 20:40
3;2.6293;2.9482;3.3334;29-01-2022 20:41
4;2.6293;2.9482;3.3334;30-01-2022 11:58
5;2.6293;2.9482;3.3334;30-01-2022 19:14
6;2.6149;2.9113;3.3566;31-01-2022 19:23
7;2.5986;2.9025;3.3551;01-02-2022 20:07
8;2.5952;2.9298;3.3852;06-02-2022 21:04
9;2.574;2.9235;3.3874;20-02-2022 14:50
10;2.7977;3.1375;3.2391;26-02-2022 18:18
11;3.0744;3.4299;2.9757;01-03-2022 19:59
12;2.9405;3.3099;3.1626;02-03-2022 21:23
13;3.0975;3.4539;2.9855;03-03-2022 20:12
14;3.0995;3.4443;2.8369;04-03-2022 21:11
15;3.0995;3.4443;2.8369;05-03-2022 13:31
16;3.0995;3.4443;2.8369;06-03-2022 12:28
17;3.0984;3.4256;2.8929;09-03-2022 19:00
18;3.2916;3.6476;2.8374;12-03-2022 22:36
19;3.2976;3.646;3.147;19-03-2022 10:34
20;2.811;3.0549;3.6656;09-04-2022 12:43
21;2.5473;2.7004;3.8417;06-05-2022 13:33
22;2.5473;2.7004;3.8417;06-05-2022 13:35
23;2.5473;2.7004;3.8417;06-05-2022 13:38
24;2.5043;2.6212;3.9928;22-05-2022 11:22
25;2.5884;2.6864;4.062;31-05-2022 21:31
26;2.5884;2.6864;4.062;31-05-2022 21:32
27;2.5884;2.6864;4.062;31-05-2022 21:35
28;2.552;2.6737;4.5036;21-06-2022 19:29
29;2.7287;2.8992;3.8139;08-01-2023 12:42
30;2.7101;2.8918;3.835;10-01-2023 19:59
31;2.7101;2.8918;3.835;10-01-2023 20:42
32;2.9441;3.2459;3.6116;16-04-2023 15:04
33;2.9441;3.2459;3.6116;16-04-2023 17:48
34;2.7772;3.2508;3.8057;14-05-2026 22:32
35;2.7772;3.2508;3.8057;14-05-2026 22:39
36;2.7716;3.1968;3.8393;12-06-2026 20:48
37;2.7716;3.1968;3.8393;13-06-2026 13:33
38;2.7723;3.2178;3.8144;16-06-2026 21:47
39;2.7716;3.2159;3.813;18-06-2026 22:31
40;2.8228;3.2072;3.77;26-06-2026 21:22
41;2.905;3.3156;3.7314;06-07-2026 21:28
42;2.8706;3.2736;3.7595;09-07-2026 21:55
43;2.8607;3.2696;3.7668;11-07-2026 22:42
44;2.8846;3.3075;3.7056;19-07-2026 18:21
45;2.8846;3.3075;3.7056;19-07-2026 18:23
46;2.8846;3.3075;3.7056;19-07-2026 18:23
47;2.8846;3.3075;3.7056;19-07-2026 18:24
